RUN_TIMESTAMP,MODE,CSV_ROW,PART_NUMBER,REVISION,DWG_INDEX,DRAWING_IDENTIFIER,DRAWING_FILE,BASELINE_SHA256,PREFLIGHT_SHA256,CHANGED_FROM_BASELINE,APPROVED,ENGINEER,DEFAULT_IMPORT_ACTION,DRAWING_IMPORT_ACTION,CLONE_PREFLIGHT,CLONE_LOG_STATUS,TARGET_RESERVATION_STATUS,POST_IMPORT_VERIFICATION,WRITE_ATTEMPTED,RESULT,MESSAGE,CLONE_LOG,CLONE_LOG_EVIDENCE
20260729_104208,APPLY_APPROVED,2,264MN020818A01,A,1,@DB/264MN020818A01/A/specification/264MN020818A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN020818A01_A_s_264MN020818A01-A-dwg1.prt,,ffbeef0c2bc895367f7b9236584f9ff674c242a002c568be340f4085dcbe3100,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,INCONCLUSIVE,UNKNOWN,NOT_VERIFIED,YES,FAILED_IMPORT_UNVERIFIED,"UF Clone returned without an exception, but the completed clone log does not prove that Teamcenter persisted the target drawing overwrite. J16 fails closed.",C:\Users\my62022696\Desktop\TEST_IMPORT\J16_APPLY_APPLY_APPROVED_264MN020818A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,3,264MN021119A01,A,1,@DB/264MN021119A01/A/specification/264MN021119A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021119A01_A_s_264MN021119A01-A-dwg1.prt,,f9f0e87cf05ecc4377557547ff2f555b36a7d78f2cef8b3099e470a03c8f4e4a,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN021119A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,4,264MN021174A01,A,1,@DB/264MN021174A01/A/specification/264MN021174A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021174A01_A_s_264MN021174A01-A-dwg1.prt,,0adea6be872e09c498e46ecf7f6b39611efcfa55156df260fa4c40be69ba0c16,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN021174A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,5,264MN021858A01,A,1,@DB/264MN021858A01/A/specification/264MN021858A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021858A01_A_s_264MN021858A01-A-dwg1.prt,,ce6418f0d77d01fab155b4d278b60539b6e45488801712290e9d385eca576f68,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN021858A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,6,264MN021895A01,A,1,@DB/264MN021895A01/A/specification/264MN021895A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021895A01_A_s_264MN021895A01-A-dwg1.prt,,a7be5e5f731caa94852d4081443738c7e65a6f8f779ecd4b276e89755f5a39d1,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN021895A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,7,264MN024578A01,A,1,@DB/264MN024578A01/A/specification/264MN024578A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024578A01_A_s_264MN024578A01-A-dwg1.prt,,258f8ea184887f0698fcacc1a8af54f51f20d745ef06dd813cae76b1c07cd140,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN024578A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,8,264MN024631A01,A,1,@DB/264MN024631A01/A/specification/264MN024631A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024631A01_A_s_264MN024631A01-A-dwg1.prt,,2c0c8315a75d55cfc33703929eb9cb1810794f2fb2c0a58410ccd5bbec300cf3,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN024631A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,9,264MN024848A01,A,1,@DB/264MN024848A01/A/specification/264MN024848A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024848A01_A_s_264MN024848A01-A-dwg1.prt,,ef078b7a1b007f21ee9489330d0344768bec8b3fae9c3b2f839b51cdc040181c,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN024848A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,10,264MN025232A01,A,1,@DB/264MN025232A01/A/specification/264MN025232A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025232A01_A_s_264MN025232A01-A-dwg1.prt,,acc56da4a3c7048c7bfcb2fbaad6174f69971c15f90ee021b3fdb4727a04abaf,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025232A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,11,264MN025324A01,A,1,@DB/264MN025324A01/A/specification/264MN025324A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025324A01_A_s_264MN025324A01-A-dwg1.prt,,bd7111ff396055c2e34c34b25d3594813756fc6773557bb21156866084a551b0,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025324A01_A_DWG1.clone,
