RUN_TIMESTAMP,MODE,CSV_ROW,PART_NUMBER,REVISION,DWG_INDEX,DRAWING_IDENTIFIER,DRAWING_FILE,BASELINE_SHA256,PREFLIGHT_SHA256,CHANGED_FROM_BASELINE,APPROVED,ENGINEER,DEFAULT_IMPORT_ACTION,DRAWING_IMPORT_ACTION,CLONE_PREFLIGHT,CLONE_LOG_STATUS,TARGET_RESERVATION_STATUS,POST_IMPORT_VERIFICATION,WRITE_ATTEMPTED,RESULT,MESSAGE,CLONE_LOG,CLONE_LOG_EVIDENCE
20260729_102628,DRY_RUN,2,264MN020818A01,A,1,@DB/264MN020818A01/A/specification/264MN020818A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN020818A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN020818A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,3,264MN021119A01,A,1,@DB/264MN021119A01/A/specification/264MN021119A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021119A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021119A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,4,264MN021174A01,A,1,@DB/264MN021174A01/A/specification/264MN021174A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021174A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021174A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,5,264MN021858A01,A,1,@DB/264MN021858A01/A/specification/264MN021858A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021858A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021858A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,6,264MN021895A01,A,1,@DB/264MN021895A01/A/specification/264MN021895A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021895A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN021895A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,7,264MN024578A01,A,1,@DB/264MN024578A01/A/specification/264MN024578A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024578A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024578A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,8,264MN024631A01,A,1,@DB/264MN024631A01/A/specification/264MN024631A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024631A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024631A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,9,264MN024848A01,A,1,@DB/264MN024848A01/A/specification/264MN024848A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024848A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN024848A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,10,264MN025232A01,A,1,@DB/264MN025232A01/A/specification/264MN025232A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025232A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025232A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,11,264MN025324A01,A,1,@DB/264MN025324A01/A/specification/264MN025324A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025324A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025324A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,12,264MN025328A01,A,2,@DB/264MN025328A01/A/specification/264MN025328A01-A-dwg2,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025328A01-A-dwg2.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025328A01-A-dwg2.prt,,
20260729_102628,DRY_RUN,13,264MN025370A01,A,1,@DB/264MN025370A01/A/specification/264MN025370A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025370A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025370A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,14,264MN025454A01,A,4,@DB/264MN025454A01/A/specification/264MN025454A01-A-dwg4,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025454A01-A-dwg4.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025454A01-A-dwg4.prt,,
20260729_102628,DRY_RUN,15,264MN025673A01,A,1,@DB/264MN025673A01/A/specification/264MN025673A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025673A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025673A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,16,264MN025674A01,A,1,@DB/264MN025674A01/A/specification/264MN025674A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025674A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025674A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,17,264MN025677A01,A,1,@DB/264MN025677A01/A/specification/264MN025677A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025677A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025677A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,18,264MN025681A01,A,1,@DB/264MN025681A01/A/specification/264MN025681A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025681A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025681A01-A-dwg1.prt,,
20260729_102628,DRY_RUN,19,264MN025682A01,A,1,@DB/264MN025682A01/A/specification/264MN025682A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025682A01-A-dwg1.prt,,,,YES,AQIL,UseExisting,Overwrite,NOT_RUN,NOT_READ,UNKNOWN,NOT_RUN,NO,ERROR_FILE_NOT_FOUND,DRAWING_FILE was not found: C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025682A01-A-dwg1.prt,,
