AUDIT_RUN_ID,APPROVED,ENGINEER,APPROVAL_NOTE,PULL_STATUS,PULL_MESSAGE,Item Number,Part Description,Item Rev,UOM,Mfr. Name,Mfr. Part Number,Reference Notes,WAE_VERSION,NX_FINISH,COMPONENT_CLASS,LIFED,SERIAL_NUMBERED_PART,Temperature_Sensitive,Hazardous,COMMODITYTYPE,Commodity_Code,Serviceable_item_flag,Export_Control_Number,Country_of_Origin
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034466A01,ASSY-CIB-DOOR,A,ea,FABRICATOR,264MN021288A01,BUY,2,RAL7043,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034453A01,STD-CIB-CLINCH NUT M6,A,ea,PEM,SP-M6-2,BUY/REF,1,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034470A01,ASSY-CIB-DOOR WELDING,A,ea,FABRICATOR,264MN021472A01,REF,2,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034473A01,PRT-CIB-L BRACKET-DOOR SPACER-TOP BOTTOM,A,ea,FABRICATOR,264MN021281A01,REF,2,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034469A01,PRT-CIB-L BRACKET-DOOR SPACER-SIDE,A,ea,FABRICATOR,264MN021285A01,REF,2,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034471A01,PRT-CIB-PAD LOCK BRACKET 2,A,ea,FABRICATOR,264MN033054A01,REF,1,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034464A01,PRT-CIB-DOOR PLATE-CUT,A,ea,FABRICATOR,264MN021476A01,REF,2,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034467A01,PRT-CIB-DOOR,A,ea,FABRICATOR,264MN021474A01,REF,2,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034468A01,STD-CIB-SEAL ACTUATOR DOOR HOLDER,A,ea,FABRICATOR,264MN021385A01,REF,2,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034463A01,PRT-CIB-DOOR ACTUATOR HOLDER,A,ea,FABRICATOR,264MN021289A01,REF,1,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN034466A01_A_20260805_143028,YES,AQIL,,READY,,264MN034472A01,"STD-CIB-HEX HEAD FLANGE SCREWS, M5X12, DIN 6921",A,ea,BOSSARD,9031586,BUY/REF,1,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
