PART_NUMBER,REVISION,KEEP_DWG_INDEX,EXPECTED_REMOVE_DWG_INDICES,APPROVED,ENGINEER,CONFIRMATION
264MN021218A01,A,1,2,NO,,
264MN021262A01,A,1,2|3,NO,,
264MN021286A01,A,1,2,NO,,
264MN024185A01,A,1,2,NO,,
264MN024854A01,A,1,2,NO,,
264MN025545A01,A,1,2,NO,,
264MN026174A01,A,1,2,NO,,
264MN026184A01,A,1,2,NO,,
264MN029982A01,A,1,2,NO,,
264MN029984A01,A,1,2,NO,,
264MN030060A01,A,1,2,NO,,
264MN030070A01,A,1,2,NO,,
264MN030114A01,A,1,2,NO,,
264MN032670A01,A,1,2,NO,,
264MN032671A01,A,1,2,NO,,
264MN032706A01,A,1,2,NO,,
